Mes;Regional;Ciudad;dependencia;Ftes Fijos;Ftes Variables;Total Ftes;Total Fijo;Total Variable;Total Servicio
ABRIL;Centro;CHIA;EXITO FONTANAR CHIA;4,999;0;4,999;$ 19.268.729,58; $ -   ;$ 19.268.729,58
ABRIL;Centro;BOGOTA D.C.;CARULLA RINCON DE LA COLINA;5,631;0;5,631;$ 21.885.579,37; $ -   ;$ 21.885.579,37
ABRIL;Centro;GUASCA;Carulla La Pradera de Potosí;1;-0,243;0,757;$ 3.797.624,00;-$ 925.670,85;$ 2.871.953,15
ABRIL;Centro;BOGOTA D.C.;CARULLA EXPRESS MALL 138;1;-1;0;$ 4.979.138,00;-$ 3.945.313,25;$ 1.033.824,75
ABRIL;Centro;CHIA;CARULLA CENTRO CHIA;4,664;-0,029;4,635;$ 17.741.937,23;-$ 110.764,03;$ 17.631.173,20
ABRIL;Centro;BOGOTA D.C.;CARULLA ALHAMBRA;6,864;0;6,864;$ 26.549.623,74; $ -   ;$ 26.549.623,74
ABRIL;Centro;BOGOTA D.C.;CARULLA COUNTRY;9,997;0;9,997;$ 38.788.530,89; $ -   ;$ 38.788.530,89
ABRIL;Centro;BOGOTA D.C.;EXITO QUIRINAL;2;0;2;$ 7.654.323,70; $ -   ;$ 7.654.323,70
ABRIL;Centro;BOGOTA D.C.;EXITO NUESTRO BOGOTA;7,5;0;7,5;$ 28.777.558,50; $ -   ;$ 28.777.558,50
ABRIL;Centro;BOGOTA D.C.;EXITO LA ESPERANZA;2,996;0;2,996;$ 11.653.789,67; $ -   ;$ 11.653.789,67
ABRIL;Centro;BOGOTA D.C.;EXITO CALLE 80;17,999;0;17,999;$ 71.975.618,63; $ -   ;$ 71.975.618,63
ABRIL;Centro;BOGOTA D.C.;CARULLA SAN NICOLAS;1;0;1;$ 3.797.624,00; $ -   ;$ 3.797.624,00
ABRIL;Centro;BOGOTA D.C.;CARULLA PLAZA CLARO;4,532;0;4,532;$ 17.491.582,07; $ -   ;$ 17.491.582,07
ABRIL;Centro;BOGOTA D.C.;CARULLA PABLO VI;4,531;0;4,531;$ 17.649.117,27; $ -   ;$ 17.649.117,27
ABRIL;Centro;BOGOTA D.C.;CARULLA CORTIJO;2,665;0;2,665;$ 10.318.993,36; $ -   ;$ 10.318.993,36
ABRIL;Centro;BOGOTA D.C.;CARULLA CALLE 102;3,863;-1;2,863;$ 14.930.294,88;-$ 3.797.624,00;$ 11.132.670,88
ABRIL;Centro;BOGOTA D.C.;ADMON EDIFICIO BOGOTA;2,564;0;2,564;$ 9.747.234,92; $ -   ;$ 9.747.234,92
ABRIL;Centro;BOGOTA D.C.; Exito Mall Plaza NQS;5,998;0;5,998;$ 23.191.889,44; $ -   ;$ 23.191.889,44
ABRIL;Centro;BOGOTA D.C.;EXITO EXPRESS CARRERA 7 CON 60;1;0;1;$ 3.915.775,40; $ -   ;$ 3.915.775,40
ABRIL;Centro;BOGOTA D.C.;CARULLA QUINTA CAMACHO;6,727;0;6,727;$ 27.136.174,30; $ -   ;$ 27.136.174,30
ABRIL;Centro;BOGOTA D.C.;CARULLA ROSALES;5,866;0,025;5,891;$ 23.726.748,78;$ 29.537,85;$ 23.756.286,63
ABRIL;Centro;BOGOTA D.C.;CARULLA LA SOLEDAD;4,827;-0,138;4,689;$ 18.630.869,24;-$ 654.033,30;$ 17.976.835,94
ABRIL;Centro;BOGOTA D.C.;CARULLA GALERIAS;7,866;0;7,866;$ 31.617.375,28; $ -   ;$ 31.617.375,28
ABRIL;Centro;BOGOTA D.C.;CARULLA EL RETIRO (CAF);4,666;-0,221;4,445;$ 17.929.010,28;-$ 991.248,38;$ 16.937.761,90
ABRIL;Centro;BOGOTA D.C.;CARULLA CALLE 63;9,532;0,566;10,098;$ 38.133.821,67;$ 289.762,20;$ 38.423.583,87
ABRIL;Centro;BOGOTA D.C.;CARULLA CALLE 47;3,8;-0,225;3,575;$ 14.608.198,30;-$ 854.465,40;$ 13.753.732,90
ABRIL;Centro;BOGOTA D.C.;CARULLA BACATA;1,4;-0,108;1,292;$ 5.375.749,30;-$ 411.409,27;$ 4.964.340,03
ABRIL;SurOccidente;TULUA;EXITO SUPERCENTRO TULUA;5,062;0;5,062;$ 19.447.005,38; $ -   ;$ 19.447.005,38
ABRIL;SurOccidente;PALMIRA;EXITO LLANO GRANDE PALMIRA;3,625;0;3,625;$ 14.061.765,50; $ -   ;$ 14.061.765,50
ABRIL;SurOccidente;DOS QUEBRADAS;CEDI EJE CAFETERO;3;0;3;$ 12.722.075,25; $ -   ;$ 12.722.075,25
ABRIL;SurOccidente;CARTAGO;EXITO NUESTRO CARTAGO;5,375;-0,04;5,335;$ 20.707.607,50;-$ 177.926,25;$ 20.529.681,25
ABRIL;SurOccidente;JAMUNDI;EXITO JAMUNDI;5,198;-0,033;5,165;$ 20.338.401,80;-$ 126.587,47;$ 20.211.814,33
ABRIL;SurOccidente;CALI;Exito Valle del Lili;5,711;-0,008;5,703;$ 21.989.305,61;-$ 31.646,87;$ 21.957.658,74
ABRIL;Centro;NEIVA;EXITO UNICENTRO NEIVA;2,999;0;2,999;$ 11.614.405,88; $ -   ;$ 11.614.405,88
ABRIL;Centro;NEIVA;EXITO SAN PEDRO;10,747;0;10,747;$ 42.596.729,01; $ -   ;$ 42.596.729,01
ABRIL;Centro;PITALITO;EXITO PITALITO;4;0;4;$ 15.485.874,50; $ -   ;$ 15.485.874,50
ABRIL;Centro;NEIVA;EXITO NEIVA CENTRO;3,866;0;3,866;$ 14.684.146,13; $ -   ;$ 14.684.146,13
ABRIL;Centro;FLORENCIA;EXITO FLORENCIA;5;0;5;$ 19.431.187,75; $ -   ;$ 19.431.187,75
ABRIL;Centro;FLORENCIA;EXITO FLORENCIA CENTRO;8,748;0;8,748;$ 33.229.210,01; $ -   ;$ 33.229.210,01
ABRIL;Centro;LA DORADA;EXITO LA DORADA;2,598;0,258;2,856;$ 10.001.819,75;$ 370.627,20;$ 10.372.446,95
ABRIL;Centro;YOPAL;EXITO YOPAL;5;-0,016;4,984;$ 19.283.498,50;-$ 19.691,90;$ 19.263.806,60
ABRIL;Centro;VILLAVICENCIO;SURTIMAYORISTA VILLAVICENCIO;3;1,14;4,14;$ 11.392.872,00;$ 5.644.604,83;$ 17.037.476,83
ABRIL;Centro;VILLAVICENCIO;CARULLA PRIMAVERA URBANA;2,263;-0,008;2,255;$ 8.809.789,73;$ 77.357,72;$ 8.887.147,45
ABRIL;Oriente;CUCUTA;EXITO SAN MATEO CUCUTA (CV);4,999;0;4,999;$ 19.357.343,13; $ -   ;$ 19.357.343,13
ABRIL;Oriente;PIEDECUESTA;EXITO PASEO DEL PUENTE;1,987;0;1,987;$ 7.547.777,70; $ -   ;$ 7.547.777,70
ABRIL;Oriente;BUCARAMANGA;EXITO ORIENTAL BUCARAMANGA CV;7,5;0;7,5;$ 28.925.247,75; $ -   ;$ 28.925.247,75
ABRIL;Oriente;BUCARAMANGA;EXITO CAÑAVERAL FLORIDA B;10;0;10;$ 38.714.686,25; $ -   ;$ 38.714.686,25
ABRIL;Oriente;BUCARAMANGA;EXITO BUCARAMANGA LA ROSITA;10,625;0;10,625;$ 42.122.026,00; $ -   ;$ 42.122.026,00
ABRIL;Oriente;CUCUTA;EXITO AVENIDA QUINTA CUCUTA;7,5;0;7,5;$ 28.925.247,75; $ -   ;$ 28.925.247,75
ABRIL;Oriente;BUCARAMANGA;CEDI BUCARAMANGA;3,8;0;3,8;$ 15.760.174,45; $ -   ;$ 15.760.174,45
ABRIL;Oriente;OCANA;EXITO OCAÑA;5,498;-0,166;5,332;$ 21.034.621,26;-$ 637.860,31;$ 20.396.760,95
ABRIL;Oriente;BARRANCABERMEJA;EXITO BARRANCABERMEJA;6,497;0,287;6,784;$ 24.906.089,89;$ 1.131.200,70;$ 26.037.290,59
ABRIL;Oriente;CUCUTA;BODEGA SURTIMAYORISTA CUCUTA;1,4;-0,1;1,3;$ 5.316.673,60;-$ 379.762,40;$ 4.936.911,20
ABRIL;Oriente;BUCARAMANGA;EXITO BUCARAMANGA CABECERA;4,5;0;4,5;$ 17.089.308,00; $ -   ;$ 17.089.308,00
ABRIL;Oriente;PIEDECUESTA;EXITO PIEDECUESTA;4,75;0;4,75;$ 18.481.781,75; $ -   ;$ 18.481.781,75
ABRIL;Oriente;BUCARAMANGA;EXITO BUCARAMANGA CENTRO;3,6;-0,099;3,501;$ 13.671.446,40;-$ 379.762,41;$ 13.291.683,99
ABRIL;Centro;BOGOTA D.C.;EXITO SUBA;11,999;0;11,999;$ 46.383.778,88; $ -   ;$ 46.383.778,88
ABRIL;Centro;BOGOTA D.C.;CARULLA SANTA BARBARA;4,999;0,066;5,065;$ 19.416.418,83;$ 277.789,81;$ 19.694.208,64
ABRIL;Centro;BOGOTA D.C.;CARULLA SAN RAFAEL (CAF);2,097;-0,033;2,064;$ 8.088.238,83;-$ 126.587,47;$ 7.961.651,36
ABRIL;Centro;BOGOTA D.C.;CARULLA PASADENA (CAF);3,732;0,033;3,765;$ 14.355.023,36;$ 165.971,27;$ 14.520.994,63
ABRIL;Centro;BOGOTA D.C.;CARULLA NIZA;5,729;0,1;5,829;$ 22.083.191,70;$ 379.762,40;$ 22.462.954,10
ABRIL;Centro;BOGOTA D.C.;CARULLA CEDRO BOLIVAR;5,065;0,035;5,1;$ 19.379.138,24;$ 41.845,29;$ 19.420.983,53
ABRIL;Centro;BOGOTA D.C.;CARULLA CALLE 147;3,398;-0,208;3,19;$ 13.030.072,99;-$ 791.171,67;$ 12.238.901,32
ABRIL;Centro;BOGOTA D.C.;CARULLA CALLE 140;8,766;0,387;9,153;$ 34.995.853,08;$ 457.836,67;$ 35.453.689,75
ABRIL;Centro;BOGOTA D.C.;GALERIA NORTE;2,918;0;2,918;$ 12.413.518,30; $ -   ;$ 12.413.518,30
ABRIL;Centro;BOGOTA D.C.;GALERIA AMERICAS;4,4;0;4,4;$ 18.038.748,85; $ -   ;$ 18.038.748,85
ABRIL;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO SUBA;2,918;0;2,918;$ 12.413.518,30; $ -   ;$ 12.413.518,30
ABRIL;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO OCCIDENTE BOGOTA;2;0;2;$ 7.742.937,25; $ -   ;$ 7.742.937,25
ABRIL;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO COUNTRY;4,4;0;4,4;$ 18.038.748,85; $ -   ;$ 18.038.748,85
ABRIL;Centro;VILLAVICENCIO;EXITO UNICENTRO VILLAVICENCIO;5,999;0;5,999;$ 23.007.277,88; $ -   ;$ 23.007.277,88
ABRIL;Centro;VILLAVICENCIO;EXITO VILLAVICENCIO CENTRO;8;-0,1;7,9;$ 30.380.992,00;-$ 379.762,40;$ 30.001.229,60
ABRIL;Centro;VILLAVICENCIO;EXITO LA SABANA VILLAVICENCIO;12,924;0,186;13,11;$ 50.036.533,42;$ 221.533,86;$ 50.258.067,28
MARZO;Centro;VILLAVICENCIO;SURTIMAYORISTA VILLAVICENCIO;3;1,051;4,051;$ 11.392.872,00;$ 5.218.776,20;$ 16.611.648,20
MARZO;Centro;VILLAVICENCIO;CARULLA PRIMAVERA URBANA;2,263;0,019;2,282;$ 8.809.789,73;$ 109.357,06;$ 8.919.146,79
MARZO;Centro;VILLAVICENCIO;EXITO UNICENTRO VILLAVICENCIO;5,999;0,026;6,025;$ 23.007.277,88;$ 112.698,27;$ 23.119.976,15
MARZO;Centro;VILLAVICENCIO;EXITO VILLAVICENCIO CENTRO;8;0,056;8,056;$ 30.380.992,00;$ 68.921,64;$ 30.449.913,64
MARZO;Centro;VILLAVICENCIO;EXITO LA SABANA VILLAVICENCIO;12,924;0,201;13,125;$ 50.056.225,32;$ 602.350,75;$ 50.658.576,07
MARZO;SurOccidente;CALI;Exito Valle del Lili;5,711;0,024;5,735;$ 21.989.305,61;$ 124.478,46;$ 22.113.784,07
MARZO;SurOccidente;TULUA;EXITO SUPERCENTRO TULUA;5,062;0,024;5,086;$ 19.447.005,38;$ 124.478,46;$ 19.571.483,84
MARZO;SurOccidente;CARTAGO;EXITO NUESTRO CARTAGO;5,375;0;5,375;$ 20.707.607,50; $ -   ;$ 20.707.607,50
MARZO;SurOccidente;PALMIRA;EXITO LLANO GRANDE PALMIRA;3,625;0,032;3,657;$ 14.061.765,50;$ 165.971,28;$ 14.227.736,78
MARZO;SurOccidente;JAMUNDI;EXITO JAMUNDI;5,198;0,036;5,234;$ 20.338.401,80;$ 186.717,69;$ 20.525.119,49
MARZO;SurOccidente;DOS QUEBRADAS;CEDI EJE CAFETERO;3;0;3;$ 12.722.075,25; $ -   ;$ 12.722.075,25
MARZO;Oriente;CUCUTA;Surtimayorista La Parada;0;1,449;1,449; $ -   ;$ 6.791.451,27;$ 6.791.451,27
MARZO;Oriente;CUCUTA;EXITO SAN MATEO CUCUTA (CV);4,999;0;4,999;$ 19.357.343,13; $ -   ;$ 19.357.343,13
MARZO;Oriente;PIEDECUESTA;EXITO PIEDECUESTA;5;0;5;$ 19.431.187,75; $ -   ;$ 19.431.187,75
MARZO;Oriente;PIEDECUESTA;EXITO PASEO DEL PUENTE;1,987;0;1,987;$ 7.547.777,70; $ -   ;$ 7.547.777,70
MARZO;Oriente;BUCARAMANGA;EXITO ORIENTAL BUCARAMANGA CV;7,5;0;7,5;$ 28.925.247,75; $ -   ;$ 28.925.247,75
MARZO;Oriente;OCANA;EXITO OCAÑA;5,498;0;5,498;$ 21.034.621,26; $ -   ;$ 21.034.621,26
MARZO;Oriente;BUCARAMANGA;EXITO CAÑAVERAL FLORIDA B;10;0;10;$ 38.714.686,25; $ -   ;$ 38.714.686,25
MARZO;Oriente;BUCARAMANGA;EXITO BUCARAMANGA LA ROSITA;10,625;0;10,625;$ 42.122.026,00; $ -   ;$ 42.122.026,00
MARZO;Oriente;BUCARAMANGA;EXITO BUCARAMANGA CENTRO;4,6;0;4,6;$ 17.469.070,40; $ -   ;$ 17.469.070,40
MARZO;Oriente;BUCARAMANGA;EXITO BUCARAMANGA CABECERA;5,1;0;5,1;$ 19.486.033,80; $ -   ;$ 19.486.033,80
MARZO;Oriente;BARRANCABERMEJA;EXITO BARRANCABERMEJA;6,497;0;6,497;$ 24.906.089,89; $ -   ;$ 24.906.089,89
MARZO;Oriente;CUCUTA;EXITO AVENIDA QUINTA CUCUTA;7,5;0;7,5;$ 28.925.247,75; $ -   ;$ 28.925.247,75
MARZO;Oriente;BUCARAMANGA;CEDI BUCARAMANGA;3,8;0;3,8;$ 15.760.174,45; $ -   ;$ 15.760.174,45
MARZO;Oriente;CUCUTA;BODEGA SURTIMAYORISTA CUCUTA;1,4;0;1,4;$ 5.316.673,60; $ -   ;$ 5.316.673,60
MARZO;Centro;YOPAL;EXITO YOPAL;5;0;5;$ 19.283.498,50; $ -   ;$ 19.283.498,50
MARZO;Centro;ZIPAQUIRA;EXITO ZIPAQUIRA;6;0;6;$ 22.785.744,00; $ -   ;$ 22.785.744,00
MARZO;Centro;CHIA;EXITO FONTANAR CHIA;4,999;0;4,999;$ 19.268.729,58; $ -   ;$ 19.268.729,58
MARZO;Centro;BOGOTA D.C.;CARULLA RINCON DE LA COLINA;5,631;0;5,631;$ 21.885.579,37; $ -   ;$ 21.885.579,37
MARZO;Centro;GUASCA;Carulla La Pradera de Potosí;1,487;0;1,487;$ 5.648.965,70; $ -   ;$ 5.648.965,70
MARZO;Centro;BOGOTA D.C.;CARULLA EXPRESS MALL 138;2;0;2;$ 8.924.451,25; $ -   ;$ 8.924.451,25
MARZO;Centro;BOGOTA D.C.;CARULLA COUNTRY;9,997;0;9,997;$ 38.788.530,89; $ -   ;$ 38.788.530,89
MARZO;Centro;BOGOTA D.C.;CARULLA PEPE SIERRA;9,366;-0,509;8,857;$ 37.195.659,88;-$ 2.301.074,46;$ 34.894.585,42
MARZO;Centro;CHIA;CARULLA CENTRO CHIA;4,664;-0,054;4,61;$ 17.741.937,23;-$ 205.704,63;$ 17.536.232,60
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 63;9,532;0,6;10,132;$ 38.133.821,67;$ 708.908,40;$ 38.842.730,07
MARZO;Centro;BOGOTA D.C.;CARULLA ALHAMBRA;6,864;0,033;6,897;$ 26.549.623,74;$ 165.971,27;$ 26.715.595,01
MARZO;Centro;BOGOTA D.C.;CARULLA BELLA SUIZA;0;0,183;0,183; $ -   ;$ 873.458,17;$ 873.458,17
MARZO;Centro;BOGOTA D.C.;EXITO SUBA;11,999;-1;10,999;$ 46.383.778,88;-$ 3.797.624,00;$ 42.586.154,88
MARZO;Centro;BOGOTA D.C.;CARULLA NOGAL;0;0,394;0,394; $ -   ;$ 1.946.293,92;$ 1.946.293,92
MARZO;Centro;BOGOTA D.C.; Exito Mall Plaza NQS;5,998;0;5,998;$ 23.191.889,44; $ -   ;$ 23.191.889,44
MARZO;Centro;BOGOTA D.C.;EXITO EXPRESS CARRERA 7 CON 60;1;0;1;$ 3.915.775,40; $ -   ;$ 3.915.775,40
MARZO;Centro;BOGOTA D.C.;CARULLA ROSALES;5,866;0,524;6,39;$ 23.726.748,78;$ 2.002.194,48;$ 25.728.943,26
MARZO;Centro;BOGOTA D.C.;CARULLA QUINTA CAMACHO;6,727;0;6,727;$ 27.136.174,30; $ -   ;$ 27.136.174,30
MARZO;Centro;BOGOTA D.C.;CARULLA LA SOLEDAD;4,827;-0,171;4,656;$ 18.630.869,24;-$ 751.082,92;$ 17.879.786,32
MARZO;Centro;BOGOTA D.C.;CARULLA GALERIAS;7,866;0,05;7,916;$ 31.617.375,28;$ 189.881,20;$ 31.807.256,48
MARZO;Centro;BOGOTA D.C.;CARULLA EL RETIRO (CAF);4,666;-0,229;4,437;$ 17.929.010,28;-$ 1.001.094,33;$ 16.927.915,95
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 47;3,8;-0,225;3,575;$ 14.608.198,30;-$ 854.465,40;$ 13.753.732,90
MARZO;Centro;BOGOTA D.C.;CARULLA BACATA;1,4;0;1,4;$ 5.316.673,60; $ -   ;$ 5.316.673,60
MARZO;Centro;BOGOTA D.C.;Carulla Express Pontevedra;0;0,965;0,965; $ -   ;$ 3.813.802,81;$ 3.813.802,81
MARZO;Centro;BOGOTA D.C.;CARULLA SMART MARKET;0;0,866;0,866; $ -   ;$ 3.291.274,13;$ 3.291.274,13
MARZO;Centro;BOGOTA D.C.;EXITO QUIRINAL;2;0;2;$ 7.654.323,70; $ -   ;$ 7.654.323,70
MARZO;Centro;BOGOTA D.C.;EXITO NUESTRO BOGOTA;7,5;0;7,5;$ 28.777.558,50; $ -   ;$ 28.777.558,50
MARZO;Centro;BOGOTA D.C.;EXITO LA ESPERANZA;2,996;0;2,996;$ 11.653.789,67; $ -   ;$ 11.653.789,67
MARZO;Centro;BOGOTA D.C.;EXITO CALLE 80;17,999;0;17,999;$ 71.975.618,63; $ -   ;$ 71.975.618,63
MARZO;Centro;BOGOTA D.C.;CARULLA SAN NICOLAS;1;0,149;1,149;$ 3.797.624,00;$ 746.870,70;$ 4.544.494,70
MARZO;Centro;BOGOTA D.C.;CARULLA PLAZA CLARO;4,532;0;4,532;$ 17.491.582,07; $ -   ;$ 17.491.582,07
MARZO;Centro;BOGOTA D.C.;CARULLA PABLO VI;4,531;0,037;4,568;$ 17.649.117,27;$ 186.717,68;$ 17.835.834,95
MARZO;Centro;BOGOTA D.C.;CARULLA CORTIJO;2,665;0;2,665;$ 10.318.993,36; $ -   ;$ 10.318.993,36
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 102;4,863;0,033;4,896;$ 18.727.918,88;$ 165.971,27;$ 18.893.890,15
MARZO;Centro;BOGOTA D.C.;ADMON EDIFICIO BOGOTA;2,564;0,55;3,114;$ 9.747.234,92;$ 2.088.693,20;$ 11.835.928,12
MARZO;Centro;BOGOTA D.C.;GALERIA NORTE;2,918;0;2,918;$ 12.413.518,30; $ -   ;$ 12.413.518,30
MARZO;Centro;BOGOTA D.C.;GALERIA AMERICAS;4,4;0;4,4;$ 18.038.748,85; $ -   ;$ 18.038.748,85
MARZO;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO SUBA;2,918;0;2,918;$ 12.413.518,30; $ -   ;$ 12.413.518,30
MARZO;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO OCCIDENTE BOGOTA;2;0;2;$ 7.742.937,25; $ -   ;$ 7.742.937,25
MARZO;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO COUNTRY;4,4;0;4,4;$ 18.038.748,85; $ -   ;$ 18.038.748,85
MARZO;Centro;BOGOTA D.C.;EXITO COUNTRY;17,5;0;17,5;$ 70.446.029,75; $ -   ;$ 70.446.029,75
MARZO;Centro;BOGOTA D.C.;CARULLA SANTA BARBARA;4,999;0;4,999;$ 19.416.418,83; $ -   ;$ 19.416.418,83
MARZO;Centro;BOGOTA D.C.;CARULLA SAN RAFAEL (CAF);2,097;0;2,097;$ 8.088.238,83; $ -   ;$ 8.088.238,83
MARZO;Centro;BOGOTA D.C.;CARULLA PASADENA (CAF);3,732;0;3,732;$ 14.355.023,36; $ -   ;$ 14.355.023,36
MARZO;Centro;BOGOTA D.C.;CARULLA NIZA;5,729;0;5,729;$ 22.083.191,70; $ -   ;$ 22.083.191,70
MARZO;Centro;BOGOTA D.C.;CARULLA CEDRO BOLIVAR;5,065;0,037;5,102;$ 19.379.138,24;$ 44.306,77;$ 19.423.445,01
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 147;3,398;-0,208;3,19;$ 13.030.072,99;-$ 791.171,67;$ 12.238.901,32
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 140;8,766;0,049;8,815;$ 33.971.874,28;-$ 1.333.583,35;$ 32.638.290,93
MARZO;SurOccidente;NEIVA;EXITO UNICENTRO NEIVA;2,999;0;2,999;$ 11.614.405,88; $ -   ;$ 11.614.405,88
MARZO;SurOccidente;NEIVA;EXITO SAN PEDRO;10,747;0;10,747;$ 42.596.729,01; $ -   ;$ 42.596.729,01
MARZO;SurOccidente;PITALITO;EXITO PITALITO;4;0;4;$ 15.485.874,50; $ -   ;$ 15.485.874,50
MARZO;SurOccidente;NEIVA;EXITO NEIVA CENTRO;3,866;0;3,866;$ 14.684.146,13; $ -   ;$ 14.684.146,13
MARZO;SurOccidente;LA DORADA;EXITO LA DORADA;2,598;0;2,598;$ 10.001.819,75; $ -   ;$ 10.001.819,75
MARZO;SurOccidente;FLORENCIA;EXITO FLORENCIA;6;0;6;$ 23.228.811,75; $ -   ;$ 23.228.811,75
MARZO;SurOccidente;FLORENCIA;EXITO FLORENCIA CENTRO;8,748;0;8,748;$ 33.229.210,01; $ -   ;$ 33.229.210,01
